"productid","product_name","productdescription","warehouse","country","totalstockonhand","totalstockmovement"
"0249bc56-a9a3-4c27-9141-77d2af46c3c4",Licensed Cotton Keyboard,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",CPT2 - Amazon Capetown,South Africa,789,303
"0249bc56-a9a3-4c27-9141-77d2af46c3c4",Licensed Cotton Keyboard,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",DUS2 - Amazon Rheinberg,Germany,753,347
"04b0a4ac-88a3-4705-9eba-c8395e388be8",Unbranded Wooden Hat,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",MAN1 - Amazon Manchester,United Kingdom,843,254
"04b0a4ac-88a3-4705-9eba-c8395e388be8",Unbranded Wooden Hat,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",ORY1 - Amazon Saran,France,766,305
"04b0a4ac-88a3-4705-9eba-c8395e388be8",Unbranded Wooden Hat,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",NYC1 - Amazon New York City,United States of America,374,136
"04b0a4ac-88a3-4705-9eba-c8395e388be8",Unbranded Wooden Hat,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",TKY6 - Amazon Tokyo,Japan,201,82
"04b0a4ac-88a3-4705-9eba-c8395e388be8",Unbranded Wooden Hat,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",FCO1 - Amazon Passo Corese,Italy,830,336
"04b0a4ac-88a3-4705-9eba-c8395e388be8",Unbranded Wooden Hat,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",MXC2 - Amazon Mexico City,Mexico,221,98
"076c15d7-56da-41a0-8790-184eeca2c409",Practical Granite Shoes,The Football Is Good For Training And Recreational Purposes,POZ1 - Amazon Sady,Poland,334,108
"076c15d7-56da-41a0-8790-184eeca2c409",Practical Granite Shoes,The Football Is Good For Training And Recreational Purposes,BCN1 - Amazon El Prat de Llobregat,Spain,722,270
"076c15d7-56da-41a0-8790-184eeca2c409",Practical Granite Shoes,The Football Is Good For Training And Recreational Purposes,MRS1 - Amazon Montelimar,France,720,307
"076c15d7-56da-41a0-8790-184eeca2c409",Practical Granite Shoes,The Football Is Good For Training And Recreational Purposes,SAD1 - Amazon San Diego,United States of America,335,88
"076c15d7-56da-41a0-8790-184eeca2c409",Practical Granite Shoes,The Football Is Good For Training And Recreational Purposes,HKG1 - Amazon Hong Kong,Hong Kong,982,308
"076c15d7-56da-41a0-8790-184eeca2c409",Practical Granite Shoes,The Football Is Good For Training And Recreational Purposes,LAS7 - Amazon Las Vegas,United States of America,331,91
"0b90caf9-3a41-46f4-8c2d-d9234bd68e92",Intelligent Cotton Pizza,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,BER6 - Amazon Berlin,Germany,285,66
"0b90caf9-3a41-46f4-8c2d-d9234bd68e92",Intelligent Cotton Pizza,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,CHI1 - Amazon Chicago,United States of America,787,256
"0b90caf9-3a41-46f4-8c2d-d9234bd68e92",Intelligent Cotton Pizza,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,BRX2 - Amazon Bruxelles,Belgium,375,132
"0b90caf9-3a41-46f4-8c2d-d9234bd68e92",Intelligent Cotton Pizza,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,SHA1 - Amazon Shanghai,China,763,313
"0b90caf9-3a41-46f4-8c2d-d9234bd68e92",Intelligent Cotton Pizza,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,CGN1 - Amazon Koblenz,Germany,733,337
"0b90caf9-3a41-46f4-8c2d-d9234bd68e92",Intelligent Cotton Pizza,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,MXP5 - Amazon Castel San Giovanni,Italy,345,100
"0e852d92-6aa1-424a-a4c7-07a0e4d32c17",Handcrafted Concrete Ball,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",POZ1 - Amazon Sady,Poland,254,103
"0e852d92-6aa1-424a-a4c7-07a0e4d32c17",Handcrafted Concrete Ball,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",BCN1 - Amazon El Prat de Llobregat,Spain,814,336
"0e852d92-6aa1-424a-a4c7-07a0e4d32c17",Handcrafted Concrete Ball,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",MRS1 - Amazon Montelimar,France,807,318
"0e852d92-6aa1-424a-a4c7-07a0e4d32c17",Handcrafted Concrete Ball,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",SAD1 - Amazon San Diego,United States of America,210,108
"0e852d92-6aa1-424a-a4c7-07a0e4d32c17",Handcrafted Concrete Ball,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",HKG1 - Amazon Hong Kong,Hong Kong,766,239
"0e852d92-6aa1-424a-a4c7-07a0e4d32c17",Handcrafted Concrete Ball,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",LAS7 - Amazon Las Vegas,United States of America,232,77
"117b14f7-5962-457b-b0da-aa093bba8411",Electronic Soft Chair,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,BER3 - Amazon Brieselang,Germany,273,67
"117b14f7-5962-457b-b0da-aa093bba8411",Electronic Soft Chair,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,BVA1 - Amazon Boves,France,773,275
"117b14f7-5962-457b-b0da-aa093bba8411",Electronic Soft Chair,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,WEL1 - Amazon Wels,Austria,284,110
"117b14f7-5962-457b-b0da-aa093bba8411",Electronic Soft Chair,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,BUE1 - Amazon Buenos Aires,Argentina,688,242
"117b14f7-5962-457b-b0da-aa093bba8411",Electronic Soft Chair,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,BOG2 - Amazon Bogota,Columbia,290,95
"117b14f7-5962-457b-b0da-aa093bba8411",Electronic Soft Chair,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,CPN3 - Amazon Copenaghen,Denmark,671,243
"11b50a0b-d95e-401c-b0cb-3b31df69c87f",Ergonomic Concrete Chair,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",BER6 - Amazon Berlin,Germany,749,236
"11b50a0b-d95e-401c-b0cb-3b31df69c87f",Ergonomic Concrete Chair,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",NDH1  - Amazon New Delhi,India,205,77
"11b50a0b-d95e-401c-b0cb-3b31df69c87f",Ergonomic Concrete Chair,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",BRX2 - Amazon Bruxelles,Belgium,741,281
"11b50a0b-d95e-401c-b0cb-3b31df69c87f",Ergonomic Concrete Chair,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",DBA1 - Amazon Dubai,Emirates United States,316,133
"11b50a0b-d95e-401c-b0cb-3b31df69c87f",Ergonomic Concrete Chair,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",TOR1 - Amazon Toronto,Canada,280,138
"11b50a0b-d95e-401c-b0cb-3b31df69c87f",Ergonomic Concrete Chair,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",MXP5 - Amazon Castel San Giovanni,Italy,639,326
"1297320b-9e91-4781-8fda-51d63662c774",Unbranded Soft Pants,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,CAI1 - Amazon El Cairo,Egypt,229,101
"1297320b-9e91-4781-8fda-51d63662c774",Unbranded Soft Pants,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,MIA1 - Amazon Miami,United States of America,922,320
"1297320b-9e91-4781-8fda-51d63662c774",Unbranded Soft Pants,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,SYD1 - Amazon Sidney,Australia,754,274
"1297320b-9e91-4781-8fda-51d63662c774",Unbranded Soft Pants,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,SVQ1 - Amazon Sevilla,Spain,418,110
"1297320b-9e91-4781-8fda-51d63662c774",Unbranded Soft Pants,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,PHX7 - Amazon Phoenix,United States of America,782,242
"1297320b-9e91-4781-8fda-51d63662c774",Unbranded Soft Pants,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,DEH8 - Amazon Den Haag,Netherlands,295,68
"13b92146-d8a7-44ed-acd8-22f77f0d5fee",Refined Rubber Pizza,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",NDH1  - Amazon New Delhi,India,765,263
"13b92146-d8a7-44ed-acd8-22f77f0d5fee",Refined Rubber Pizza,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",BVA1 - Amazon Boves,France,221,61
"13b92146-d8a7-44ed-acd8-22f77f0d5fee",Refined Rubber Pizza,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",DBA1 - Amazon Dubai,Emirates United States,948,280
"13b92146-d8a7-44ed-acd8-22f77f0d5fee",Refined Rubber Pizza,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",BUE1 - Amazon Buenos Aires,Argentina,337,109
"13b92146-d8a7-44ed-acd8-22f77f0d5fee",Refined Rubber Pizza,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",TOR1 - Amazon Toronto,Canada,766,282
"13b92146-d8a7-44ed-acd8-22f77f0d5fee",Refined Rubber Pizza,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",CPN3 - Amazon Copenaghen,Denmark,264,130
"144e5a05-788b-4880-9ac4-ffa2065ab07c",Gorgeous Metal Fish,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",MIA1 - Amazon Miami,United States of America,208,89
"144e5a05-788b-4880-9ac4-ffa2065ab07c",Gorgeous Metal Fish,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",DUB19 - Amazon Dublin,Ireland,775,310
"144e5a05-788b-4880-9ac4-ffa2065ab07c",Gorgeous Metal Fish,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",SYD1 - Amazon Sidney,Australia,248,94
"144e5a05-788b-4880-9ac4-ffa2065ab07c",Gorgeous Metal Fish,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",PHX7 - Amazon Phoenix,United States of America,268,136
"144e5a05-788b-4880-9ac4-ffa2065ab07c",Gorgeous Metal Fish,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",CPT2 - Amazon Capetown,South Africa,855,298
"144e5a05-788b-4880-9ac4-ffa2065ab07c",Gorgeous Metal Fish,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",DUS2 - Amazon Rheinberg,Germany,864,236
"196175ad-1007-469c-bc7f-7ad084f88e17",Small Fresh Tuna,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",POZ1 - Amazon Sady,Poland,322,95
"196175ad-1007-469c-bc7f-7ad084f88e17",Small Fresh Tuna,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",BCN1 - Amazon El Prat de Llobregat,Spain,943,278
"196175ad-1007-469c-bc7f-7ad084f88e17",Small Fresh Tuna,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",MRS1 - Amazon Montelimar,France,863,339
"196175ad-1007-469c-bc7f-7ad084f88e17",Small Fresh Tuna,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",SAD1 - Amazon San Diego,United States of America,231,49
"196175ad-1007-469c-bc7f-7ad084f88e17",Small Fresh Tuna,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",HKG1 - Amazon Hong Kong,Hong Kong,777,269
"196175ad-1007-469c-bc7f-7ad084f88e17",Small Fresh Tuna,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",LAS7 - Amazon Las Vegas,United States of America,298,109
"1a8a892b-2c85-4a71-8c90-d86ebaa56ec1",Handcrafted Plastic Shoes,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,MAN1 - Amazon Manchester,United Kingdom,918,301
"1a8a892b-2c85-4a71-8c90-d86ebaa56ec1",Handcrafted Plastic Shoes,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,ORY1 - Amazon Saran,France,743,289
"1a8a892b-2c85-4a71-8c90-d86ebaa56ec1",Handcrafted Plastic Shoes,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,NYC1 - Amazon New York City,United States of America,367,116
"1a8a892b-2c85-4a71-8c90-d86ebaa56ec1",Handcrafted Plastic Shoes,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,TKY6 - Amazon Tokyo,Japan,310,63
"1a8a892b-2c85-4a71-8c90-d86ebaa56ec1",Handcrafted Plastic Shoes,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,FCO1 - Amazon Passo Corese,Italy,815,326
"1a8a892b-2c85-4a71-8c90-d86ebaa56ec1",Handcrafted Plastic Shoes,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,MXC2 - Amazon Mexico City,Mexico,253,95
"1a9f3c62-5ca9-42f0-87c8-379c49784907",Electronic Metal Table,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",BER3 - Amazon Brieselang,Germany,306,96
"1a9f3c62-5ca9-42f0-87c8-379c49784907",Electronic Metal Table,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",BVA1 - Amazon Boves,France,863,335
"1a9f3c62-5ca9-42f0-87c8-379c49784907",Electronic Metal Table,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",WEL1 - Amazon Wels,Austria,257,86
"1a9f3c62-5ca9-42f0-87c8-379c49784907",Electronic Metal Table,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",BUE1 - Amazon Buenos Aires,Argentina,834,255
"1a9f3c62-5ca9-42f0-87c8-379c49784907",Electronic Metal Table,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",BOG2 - Amazon Bogota,Columbia,354,139
"1a9f3c62-5ca9-42f0-87c8-379c49784907",Electronic Metal Table,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",CPN3 - Amazon Copenaghen,Denmark,778,337
"1be304fb-5d3d-4344-9755-ea18bbe9fe6a",Handcrafted Steel Chicken,The Football Is Good For Training And Recreational Purposes,BER6 - Amazon Berlin,Germany,709,270
"1be304fb-5d3d-4344-9755-ea18bbe9fe6a",Handcrafted Steel Chicken,The Football Is Good For Training And Recreational Purposes,NDH1  - Amazon New Delhi,India,308,85
"1be304fb-5d3d-4344-9755-ea18bbe9fe6a",Handcrafted Steel Chicken,The Football Is Good For Training And Recreational Purposes,BRX2 - Amazon Bruxelles,Belgium,939,320
"1be304fb-5d3d-4344-9755-ea18bbe9fe6a",Handcrafted Steel Chicken,The Football Is Good For Training And Recreational Purposes,DBA1 - Amazon Dubai,Emirates United States,258,105
"1be304fb-5d3d-4344-9755-ea18bbe9fe6a",Handcrafted Steel Chicken,The Football Is Good For Training And Recreational Purposes,TOR1 - Amazon Toronto,Canada,279,90
"1be304fb-5d3d-4344-9755-ea18bbe9fe6a",Handcrafted Steel Chicken,The Football Is Good For Training And Recreational Purposes,MXP5 - Amazon Castel San Giovanni,Italy,846,281
"1e63a9ec-5ced-45a7-aa80-3b22cef35f1d",Recycled Soft Car,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,LCY1 - Amazon London,United Kingdom,813,303
"1e63a9ec-5ced-45a7-aa80-3b22cef35f1d",Recycled Soft Car,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,CHI1 - Amazon Chicago,United States of America,288,113
"1e63a9ec-5ced-45a7-aa80-3b22cef35f1d",Recycled Soft Car,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,SHA1 - Amazon Shanghai,China,118,90
"1e63a9ec-5ced-45a7-aa80-3b22cef35f1d",Recycled Soft Car,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,BCR2 - Amazon Bucarest,Romania,618,315
"1e63a9ec-5ced-45a7-aa80-3b22cef35f1d",Recycled Soft Car,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,CGN1 - Amazon Koblenz,Germany,243,134
"1e63a9ec-5ced-45a7-aa80-3b22cef35f1d",Recycled Soft Car,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,LUX16 - Amazon Luxemburg,Luxemburg,934,299
"1ebc8dcb-221d-4905-a559-321b5abe8100",Incredible Concrete Bacon,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,LCY1 - Amazon London,United Kingdom,910,262
"1ebc8dcb-221d-4905-a559-321b5abe8100",Incredible Concrete Bacon,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,CHI1 - Amazon Chicago,United States of America,295,127
"1ebc8dcb-221d-4905-a559-321b5abe8100",Incredible Concrete Bacon,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,SHA1 - Amazon Shanghai,China,190,93
"1ebc8dcb-221d-4905-a559-321b5abe8100",Incredible Concrete Bacon,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,BCR2 - Amazon Bucarest,Romania,779,256
"1ebc8dcb-221d-4905-a559-321b5abe8100",Incredible Concrete Bacon,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,CGN1 - Amazon Koblenz,Germany,284,95
"1ebc8dcb-221d-4905-a559-321b5abe8100",Incredible Concrete Bacon,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,LUX16 - Amazon Luxemburg,Luxemburg,772,267
"1f40d9ef-0cd0-4dcc-a0a3-7962e6be7104",Luxurious Wooden Pants,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",SAP1 - Amazon San Paolo,Brasil,302,91
"1f40d9ef-0cd0-4dcc-a0a3-7962e6be7104",Luxurious Wooden Pants,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",NYC1 - Amazon New York City,United States of America,783,287
"1f40d9ef-0cd0-4dcc-a0a3-7962e6be7104",Luxurious Wooden Pants,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",LIS3 - Amazon Lisbon,Portugal,309,85
"1f40d9ef-0cd0-4dcc-a0a3-7962e6be7104",Luxurious Wooden Pants,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",CWL1 - Amazon Swansea,United Kingdom,266,141
"1f40d9ef-0cd0-4dcc-a0a3-7962e6be7104",Luxurious Wooden Pants,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",TKY6 - Amazon Tokyo,Japan,732,290
"1f40d9ef-0cd0-4dcc-a0a3-7962e6be7104",Luxurious Wooden Pants,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",MXC2 - Amazon Mexico City,Mexico,771,223
"20b86413-cae6-4c47-be16-a33e3e240612",Electronic Frozen Soap,The Football Is Good For Training And Recreational Purposes,BER6 - Amazon Berlin,Germany,774,280
"20b86413-cae6-4c47-be16-a33e3e240612",Electronic Frozen Soap,The Football Is Good For Training And Recreational Purposes,NDH1  - Amazon New Delhi,India,303,95
"20b86413-cae6-4c47-be16-a33e3e240612",Electronic Frozen Soap,The Football Is Good For Training And Recreational Purposes,BRX2 - Amazon Bruxelles,Belgium,648,318
"20b86413-cae6-4c47-be16-a33e3e240612",Electronic Frozen Soap,The Football Is Good For Training And Recreational Purposes,DBA1 - Amazon Dubai,Emirates United States,128,90
"20b86413-cae6-4c47-be16-a33e3e240612",Electronic Frozen Soap,The Football Is Good For Training And Recreational Purposes,TOR1 - Amazon Toronto,Canada,248,138
"20b86413-cae6-4c47-be16-a33e3e240612",Electronic Frozen Soap,The Football Is Good For Training And Recreational Purposes,MXP5 - Amazon Castel San Giovanni,Italy,632,261
"23b4f883-7429-43e3-82c1-01db65124a8b",Awesome Concrete Cheese,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",BER6 - Amazon Berlin,Germany,955,325
"23b4f883-7429-43e3-82c1-01db65124a8b",Awesome Concrete Cheese,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",NDH1  - Amazon New Delhi,India,193,88
"23b4f883-7429-43e3-82c1-01db65124a8b",Awesome Concrete Cheese,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",BRX2 - Amazon Bruxelles,Belgium,834,293
"23b4f883-7429-43e3-82c1-01db65124a8b",Awesome Concrete Cheese,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",DBA1 - Amazon Dubai,Emirates United States,302,111
"23b4f883-7429-43e3-82c1-01db65124a8b",Awesome Concrete Cheese,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",TOR1 - Amazon Toronto,Canada,310,114
"23b4f883-7429-43e3-82c1-01db65124a8b",Awesome Concrete Cheese,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",MXP5 - Amazon Castel San Giovanni,Italy,756,219
"2453529a-bb92-4fd3-9f37-78a2d840a657",Oriental Plastic Computer,The Football Is Good For Training And Recreational Purposes,MAN1 - Amazon Manchester,United Kingdom,264,105
"2453529a-bb92-4fd3-9f37-78a2d840a657",Oriental Plastic Computer,The Football Is Good For Training And Recreational Purposes,ORY1 - Amazon Saran,France,276,98
"2453529a-bb92-4fd3-9f37-78a2d840a657",Oriental Plastic Computer,The Football Is Good For Training And Recreational Purposes,BER3 - Amazon Brieselang,Germany,818,279
"2453529a-bb92-4fd3-9f37-78a2d840a657",Oriental Plastic Computer,The Football Is Good For Training And Recreational Purposes,FCO1 - Amazon Passo Corese,Italy,313,96
"2453529a-bb92-4fd3-9f37-78a2d840a657",Oriental Plastic Computer,The Football Is Good For Training And Recreational Purposes,WEL1 - Amazon Wels,Austria,895,305
"2453529a-bb92-4fd3-9f37-78a2d840a657",Oriental Plastic Computer,The Football Is Good For Training And Recreational Purposes,BOG2 - Amazon Bogota,Columbia,999,309
"247183ca-7bfd-472b-872d-47d9256d9e3c",Elegant Plastic Table,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",BER3 - Amazon Brieselang,Germany,285,110
"247183ca-7bfd-472b-872d-47d9256d9e3c",Elegant Plastic Table,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",BVA1 - Amazon Boves,France,889,315
"247183ca-7bfd-472b-872d-47d9256d9e3c",Elegant Plastic Table,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",WEL1 - Amazon Wels,Austria,352,127
"247183ca-7bfd-472b-872d-47d9256d9e3c",Elegant Plastic Table,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",BUE1 - Amazon Buenos Aires,Argentina,808,305
"247183ca-7bfd-472b-872d-47d9256d9e3c",Elegant Plastic Table,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",BOG2 - Amazon Bogota,Columbia,199,111
"247183ca-7bfd-472b-872d-47d9256d9e3c",Elegant Plastic Table,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",CPN3 - Amazon Copenaghen,Denmark,793,330
"2a01df4f-dd6d-4872-a707-e8e335e33053",Oriental Granite Shirt,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",MAN1 - Amazon Manchester,United Kingdom,783,282
